URL,Priority,Category,Description
https://nepstate.com/,1,Main,Homepage
https://nepstate.com/classifieds/events,1,Main,Events Category
https://nepstate.com/classifieds/jobs,1,Main,Jobs Category
https://nepstate.com/classifieds/services,1,Main,Services Category
https://nepstate.com/classifieds/it-trainings,1,Main,IT Trainings Category
https://nepstate.com/classifieds/roomates-rentals,1,Main,Roommates & Rentals Category
https://nepstate.com/blog,1,Main,Blog Page
https://nepstate.com/confessions,1,Main,Confessions Page
https://nepstate.com/forums,1,Main,Forums Page
https://nepstate.com/about-us,1,Main,About Us Page
https://nepstate.com/contact-us,1,Main,Contact Us Page
https://nepstate.com/classified/detail/bara-nepalese-restaurant-and-bar,2,Business,Bara Nepalese Restaurant
https://nepstate.com/classified/detail/cafemandu--flavors-of-nepal,2,Business,Cafemandu Restaurant
https://nepstate.com/classified/detail/everest-kitchen,2,Business,Everest Kitchen
https://nepstate.com/blog/details/how-to-improve-your-google-rankings-with-nepali-business-listings,3,Blog,SEO Blog Post
https://nepstate.com/blog/details/nepali-businesses-in-the-usa-building-community-and-success,3,Blog,Business Blog Post
https://nepstate.com/blog/details/the-future-of-nepali-business-listings-trends-innovations,3,Blog,Future Trends Blog Post
